date,humidity_missing,imputation
2023-01-10 12:00:00,,1.61
2023-01-10 13:00:00,1.61,-14.74
2023-01-10 14:00:00,1.47,14.17
2023-01-10 15:00:00,1.45,1.23
2023-01-10 16:00:00,,1.54
2023-01-10 17:00:00,1.55,-1.87
2023-01-10 18:00:00,1.68,-30.64
2023-01-10 19:00:00,1.58,5.73
2023-01-10 20:00:00,1.67,1.63
2023-01-10 21:00:00,1.70,-19.04
2023-01-10 22:00:00,1.58,-14.81
2023-01-10 23:00:00,1.70,-6.94
2023-01-11 00:00:00,1.68,1.65
2023-01-11 01:00:00,1.59,4.49
2023-01-11 02:00:00,1.49,-2.74
2023-01-11 03:00:00,1.59,-5.52
2023-01-11 04:00:00,1.62,-22.93
2023-01-11 05:00:00,1.60,-16.07
2023-01-11 06:00:00,1.61,-7.04
2023-01-11 07:00:00,,1.66
2023-01-11 08:00:00,1.75,-40.06
2023-01-11 09:00:00,1.68,-25.99
2023-01-11 10:00:00,1.55,-6.08
2023-01-11 11:00:00,1.48,1.56
2023-01-11 12:00:00,,1.52
2023-01-11 13:00:00,1.43,1.49
2023-01-11 14:00:00,1.46,-6.02
2023-01-11 15:00:00,1.51,3.78
2023-01-11 16:00:00,1.39,10.24
2023-01-11 17:00:00,1.56,-15.47
2023-01-11 18:00:00,1.56,-31.90
2023-01-11 19:00:00,1.62,-17.29
2023-01-11 20:00:00,1.75,-19.40
2023-01-11 21:00:00,1.67,-11.79
2023-01-11 22:00:00,,1.69
2023-01-11 23:00:00,,1.70
2023-01-12 00:00:00,1.69,-18.78
2023-01-12 01:00:00,1.65,-2.97
2023-01-12 02:00:00,1.62,-13.40
2023-01-12 03:00:00,1.67,-19.81
2023-01-12 04:00:00,,1.68
2023-01-12 05:00:00,1.70,-20.74
2023-01-12 06:00:00,1.74,-24.90
2023-01-12 07:00:00,,1.70
2023-01-12 08:00:00,1.53,6.54
2023-01-12 09:00:00,,1.68
2023-01-12 10:00:00,1.65,-11.04
2023-01-12 11:00:00,,1.59
